"Department","Position","Name","Firstname","Lastname","coursename"
"Health, Behavior and Society","Assistant Professor","Aboumatar, Hanan","Hanan","Aboumatar",NA
"Epidemiology","Associate Professor","Abraham, Alison G.","Alison G.","Abraham","340.774.01 Advanced Theory and Methods in Epidemiology, 340.754.01 Methodologic Challenges in Epidemiologic Research"
"Health, Behavior and Society","Professor","Abrams, David B.","David B.","Abrams",NA
"Environmental Health and Engineering","Assistant Professor","Adalja, Amesh","Amesh","Adalja",NA
"Health Policy and Management","Associate Professor","Advani, Aneel","Aneel","Advani",NA
"Environmental Health and Engineering","Professor","Agnew, Jacqueline","Jacqueline","Agnew","188.694.81 Health of Vulnerable Worker Populations, 182.621.01 Introduction to Ergonomics, 188.681.01 Occupational Health"
"Molecular Microbiology and Immunology","Professor","Agre, Peter C.","Peter C.","Agre","550.865.81 Public Health Perspectives On Research"
"Population, Family and Reproductive Health","Associate Professor","Agree, Emily","Emily","Agree",NA
"Mental Health","Associate Professor","Agus, Deborah","Deborah","Agus","330.628.01 Gaps and Opportunities in Public Mental Health: a Systems Approach, 330.667.01 Mental Health and the Law"
"Epidemiology","Professor","Ahima, Rexford S.","Rexford S.","Ahima",NA
"Population, Family and Reproductive Health","Professor","Ahmed, Saifuddin","Saifuddin","Ahmed","140.640.01 Statistical Methods for Sample Surveys, 380.712.01 Methods in Analysis of Large Population Surveys"
"Epidemiology","Assistant Scientist","Aizire, Jim","Jim","Aizire",NA
"Epidemiology","Associate Professor","Alberg, Anthony J.","Anthony J.","Alberg",NA
"Mental Health","Professor","Albert, Marilyn","Marilyn","Albert",NA
"Population, Family and Reproductive Health","Associate Professor","Albuhairan, Fadia S.","Fadia S.","Albuhairan",NA
"Epidemiology","Associate Professor","Alexander, Caleb","Caleb","Alexander","340.684.01 Pharmacoepidemiology: Drug Utilization, 340.684.81 Pharmacoepidemiology: Drug Utilization, 340.715.01 Problems in the Design of Epidemiologic Studies: Proposal Development and Critique, 340.617.11 Pharmacoepidemiology"
"International Health","Senior Scientist","Ali, Mohammad","Mohammad","Ali","223.600.01 Application of Spatial Analysis Tools to Inform Decision-Making in LMICs"
"Health, Behavior and Society","Professor","Allen, Jerilyn","Jerilyn","Allen",NA
"International Health","Assistant Scientist","Allen, Katharine A.","Katharine A.","Allen","221.620.81 Applying Summary Measures of Population Health to Improve Health Systems, 221.620.11 Applying Summary Measures of Population Health to Improve Health Systems"
"Health, Behavior and Society","Assistant Scientist","Allen, Sean Travis","Sean Travis","Allen",NA
"International Health","Assistant Professor","Alonge, Olakunle O.","Olakunle O.","Alonge","221.810.01 Health Systems Practicum, 221.646.01 Health Systems in Low and Middle Income Countries, 221.810.01 Health Systems Practicum, 221.810.01 Health Systems Practicum, 221.810.01 Health Systems Practicum, 550.601.01 Implementation Research and Practice"
"Epidemiology","Associate Professor","Althoff, Keri N.","Keri N.","Althoff","340.753.01 Epidemiologic Methods 3"
"Health Policy and Management","Associate Scientist","Altschuler, David M.","David M.","Altschuler","318.867.01 MPP Graduate Policy Seminar, 318.654.01 Adolescents, Crime and Justice, 318.620.01 Introduction to Social Policy"
"International Health","Associate Professor","Amouzou, Agbessi","Agbessi","Amouzou","221.645.01 Large-Scale Effectiveness Evaluations of Health Programs, 223.632.01 Methods for Planning and Implementing Evaluations of Large-Scale Health Programs in Low and Middle Income Countries"
"Environmental Health and Engineering","Associate Professor","An, Steven S.","Steven S.","An","183.631.01 Fundamentals of Human Physiology, 188.688.01 Global Sustainability & Health Seminar, 180.602.01 Environment and Health in Low and Middle Income Countries, 182.626.01 Issues for Water and Sanitation in Tropical Environmental Health, 188.688.01 Global Sustainability & Health Seminar, 340.744.01 Advanced Topics On Control and Prevention of HIV/AIDS, 318.636.01 Urban Policy, 317.700.98 Climate Change Adaptation in Public Health: Large World Cities, 305.861.01 Graduate Seminar in Injury Research and Policy, 222.649.01 International Nutrition, 222.649.81 International Nutrition, 221.615.11 Health Emergencies in Large Populations (H.E.L.P.), 221.615.13 Health Emergencies in Large Populations (H.E.L.P.), 330.854.81 A Brief Introduction to Public Health for Mental Health Clinicians"
"Epidemiology","Associate Professor","Anderson, Cheryl","Cheryl","Anderson","340.644.11 Epidemiology of Diabetes and Obesity"
"Health Policy and Management","Professor","Anderson, Gerard","Gerard","Anderson","309.670.01 Comparative Health Insurance, 308.678.01 Chronic Conditions: a Key Policy Problem for the 21St Century, 300.610.01 Public Health Policy"
"Mental Health","Professor","Anthony, James C.","James C.","Anthony",NA
"Epidemiology","Professor","Appel, Lawrence J.","Lawrence J.","Appel","340.687.01 Epidemiology of Kidney Disease"
"Epidemiology","Professor","Armenian, Haroutune K.","Haroutune K.","Armenian",NA
"Health, Behavior and Society","Associate Professor","Arrington-Sanders, Renata","Renata","Arrington-Sanders","410.681.01 Gay, Bisexual and Other Men Who Have Sex With Men (MSM) and HIV: Theoretical Perspectives On the U.S. Epidemic"
